feature,fold,repeat,delta_MAE,baseline_MAE
gradient_clip,0,23,0.0037513066551856378,0.1318489606058634
gradient_clip,0,24,0.0027111569769311394,0.1318489606058634
gradient_clip,0,25,0.0035546914625132764,0.1318489606058634
gradient_clip,0,26,0.0016029633759826745,0.1318489606058634
gradient_clip,0,27,0.0026262261836295375,0.1318489606058634
gradient_clip,0,28,0.000889738215852115,0.1318489606058634
gradient_clip,0,29,0.0026770234599395037,0.1318489606058634
scheduler,0,0,0.03439700513956473,0.1318489606058634
scheduler,0,1,0.025127437238116085,0.1318489606058634
scheduler,0,2,0.04450280166182832,0.1318489606058634
scheduler,0,3,0.025283746885954944,0.1318489606058634
scheduler,0,4,-0.018454006278985496,0.1318489606058634
scheduler,0,5,0.0,0.1318489606058634
scheduler,0,6,0.0032724867137303437,0.1318489606058634
scheduler,0,7,0.00235112856900363,0.1318489606058634
scheduler,0,8,-0.00794463449729102,0.1318489606058634
scheduler,0,9,0.010509371781694449,0.1318489606058634
scheduler,0,10,0.03188956692272227,0.1318489606058634
scheduler,0,11,0.0046686002418150074,0.1318489606058634
scheduler,0,12,0.0037472420970882936,0.1318489606058634
scheduler,0,13,-0.018454006278985496,0.1318489606058634
scheduler,0,14,0.023122606520800504,0.1318489606058634
scheduler,0,15,0.01359187029157563,0.1318489606058634
scheduler,0,16,0.0,0.1318489606058634
scheduler,0,17,0.010699359985543638,0.1318489606058634
scheduler,0,18,0.025127437238116085,0.1318489606058634
scheduler,0,19,0.013435560643736771,0.1318489606058634
scheduler,0,20,0.043581443517101554,0.1318489606058634
scheduler,0,21,0.03188956692272227,0.1318489606058634
scheduler,0,22,0.0021611403651544125,0.1318489606058634
scheduler,0,23,0.0208051348479891,0.1318489606058634
scheduler,0,24,0.0015861017319338533,0.1318489606058634
scheduler,0,25,0.022966296872961672,0.1318489606058634
scheduler,0,26,0.025283746885954944,0.1318489606058634
scheduler,0,27,0.004322302390126986,0.1318489606058634
scheduler,0,28,0.0015861017319338533,0.1318489606058634
scheduler,0,29,0.046663942026982735,0.1318489606058634
width,1,0,0.002381691816956674,0.09585961662677586
width,1,1,0.0027093512310856493,0.09585961662677586
width,1,2,0.00012223550760712132,0.09585961662677586
width,1,3,0.002797313275566496,0.09585961662677586
width,1,4,-0.00013481422248806663,0.09585961662677586
width,1,5,-0.00025500320688946754,0.09585961662677586
width,1,6,0.002990835623553928,0.09585961662677586
width,1,7,-0.0004516875841175938,0.09585961662677586
width,1,8,-0.00013481422248806663,0.09585961662677586
